,Country Name,2015 Total GDP,2016 Total GDP,2017 Total GDP,2018 Total GDP,2019 Total GDP
236,Middle East & North Africa (IDA & IBRD countries),1426040000000.0,1444320000000.0,1420120000000.0,1503870000000.0,
237,Tonga,437006227.2,420540178.6,460379145.0,489235527.4,512350059.4
238,South Asia (IDA & IBRD),2697260000000.0,2923010000000.0,3345720000000.0,3445470000000.0,3591840000000.0
239,Sub-Saharan Africa (IDA & IBRD countries),1661910000000.0,1540370000000.0,1641780000000.0,1721160000000.0,1766940000000.0
240,Trinidad and Tobago,25062893969.0,22284780327.0,22474828527.0,23808146748.0,24269714810.0
241,Tunisia,43173480832.0,41801210428.0,39802430355.0,39770297329.0,38796687568.0
242,Turkey,864314000000.0,869683000000.0,858989000000.0,778382000000.0,761425000000.0
243,Tuvalu,35492074.22,36547799.58,40619251.99,42588164.97,47271463.33
244,Tanzania,47378599025.0,49774021003.0,53320625959.0,58001200572.0,63177068175.0
245,Uganda,32248116584.0,29078719934.0,30756466548.0,32916147253.0,35165157017.0
246,Ukraine,91030959455.0,93355993629.0,112190000000.0,130902000000.0,153781000000.0
247,Upper middle income,21352200000000.0,21338900000000.0,23580700000000.0,25273300000000.0,25807800000000.0
248,Uruguay,53274304222.0,52687612262.0,59530088537.0,59596885024.0,56045912953.0
249,United States,18224700000000.0,18715000000000.0,19519400000000.0,20580200000000.0,21433200000000.0
250,Uzbekistan,81847410182.0,81779012351.0,59159945321.0,50392607758.0,57921286440.0
251,St. Vincent and the Grenadines,755400000.0,774429629.6,792177777.8,811300000.0,824718518.5
252,"Venezuela, RB",,,,,
253,British Virgin Islands,,,,,
254,Virgin Islands (U.S.),3748000000.0,3863000000.0,3855000000.0,,
255,Vietnam,193241000000.0,205276000000.0,223780000000.0,245214000000.0,261921000000.0
256,Vanuatu,759689950.9,804332795.6,880043553.7,914700508.2,934239973.8
257,World,75217700000000.0,76369000000000.0,81306000000000.0,86439400000000.0,87798500000000.0
258,Samoa,788307330.6,799376439.5,832153612.6,821496064.5,852250191.0
259,Kosovo,6442915788.0,6719172017.0,7245707185.0,7942961738.0,7926133714.0
260,"Yemen, Rep.",42450620876.0,30935978724.0,26736139802.0,23486270352.0,22581081994.0
261,South Africa,317621000000.0,296357000000.0,349554000000.0,368289000000.0,351432000000.0
262,Zambia,21243339048.0,20954754378.0,25868165345.0,26312140829.0,23309773923.0
263,Zimbabwe,19963120600.0,20548678100.0,22040902300.0,24311560500.0,21440758800.0
