,Country Name,2015 Total Pop,2016 Total Pop,2017 Total Pop,2018 Total Pop,2019 Total Pop,2015 Adults (%),2016 Adults (%),2017 Adults (%),2018 Adults (%),2019 Adults (%),2015 Total Unemploment,2016 Total Unemploment,2017 Total Unemploment,2018 Total Unemploment,2019 Total Unemploment,2015 Female Unemploment,2016 Female Unemploment,2017 Female Unemploment,2018 Female Unemploment,2019 Female Unemploment,2015 Male Unemployment,2016 Male Unemployment,2017 Male Unemployment,2018 Male Unemployment,2019 Male Unemployment
74,Fiji,868627,872399,877459,883483,889953,65.17953045,65.11699349,65.05660094,65.03769739,65.0820886,4.362999916,4.318999767,4.236999989,4.157999992,4.100999832,5.452000141,5.561999798,5.552999973,5.451000214,5.320000172,3.809000015,3.711999893,3.592999935,3.523999929,3.499000072
73,Finland,5479531,5495303,5508214,5515525,5520314,63.36096879,62.87518101,62.47008231,62.13402948,61.84301383,9.376000404,8.81799984,8.640000343,7.361000061,6.59499979,8.842000008,8.581999779,8.388999939,7.297999859,6.296000004,9.875,9.036999702,8.871999741,7.419000149,6.872000217
72,Fragile and conflict affected situations,730424930,747004599,763578047,780467640,798138587,55.22153524,55.3084017,55.43196617,55.5895268,55.77428067,6.019861442,6.646939523,7.010501493,6.914434856,6.964999244,6.545257286,7.301263481,7.654604715,7.548023903,7.536005253,5.658901275,6.198187427,6.570142018,6.480492829,6.574731871
75,France,66548272,66724104,66864379,66965912,67059887,62.76647242,62.4703445,62.22117654,62.00891081,61.80647185,10.35900021,10.05700016,9.397000313,9.059000015,8.427000046,9.880999565,9.852000237,9.336000443,9.097000122,8.36400032,10.79599953,10.24400043,9.454000473,9.022999763,8.484999657
197,French Polynesia,273124,274575,276103,277679,279287,69.13160323,69.31876536,69.20341033,68.94759777,68.75543795,13.74499989,13.25599957,12.77400017,12.31400013,12.09599972,14.68099976,14.24800014,13.81799984,13.43200016,13.22700024,13.02900028,12.49300003,11.97099972,11.45499992,11.22399998
78,Gabon,1947686,2007873,2064823,2119275,2172579,60.04053015,59.80552555,59.59324359,59.41022284,59.27572714,20.26000023,20.1590004,19.98200035,19.80699921,20.00399971,28.71800041,28.55500031,28.26600075,28.10099983,28.50699997,14.52099991,14.5010004,14.43299961,14.27700043,14.29300022
84,"Gambia, The",2085860,2149139,2213894,2280102,2347706,52.84261647,52.90754052,53.00730976,53.141274,53.31195644,9.312999725,9.248999596,9.13599968,9.027000427,9.055999756,12.58399963,12.40699959,12.40600014,12.23999977,12.23700047,6.762000084,6.784999847,6.579999924,6.505000114,6.556000233
80,Georgia,3725276,3727505,3728004,3726549,3720382,66.68471588,66.25135414,65.79735257,65.33926797,64.90751896,16.50600052,16.60400009,13.93900013,13.78499985,14.39799976,13.90100002,12.53100014,12.69099998,12.54699993,12.88000011,18.68000031,19.91300011,14.95400047,14.79399967,15.63500023
53,Germany,81686611,82348669,82657002,82905782,83132799,65.56447055,65.39599085,65.17782359,64.9170079,64.6375192,4.624000072,4.122000217,3.746000051,3.384000063,3.042999983,4.21999979,3.740999937,3.315000057,2.910000086,2.694000006,4.97300005,4.451000214,4.118000031,3.792000055,3.342999935
81,Ghana,27849205,28481946,29121471,29767108,30417856,58.80449011,58.94660284,59.13016395,59.33504041,59.53780569,6.806000233,5.449999809,4.22300005,4.157000065,4.330999851,6.565999985,5.433000088,4.385000229,4.251999855,4.464000225,7.013000011,5.464000225,4.081999779,4.073999882,4.21600008
