Series Name,Country Name,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Government expenditure per student, primary (% of GDP per capita)",South Sudan,..,4.57838,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Spain,17.27588,17.11832,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Sri Lanka,7.43956,14.4145,11.39277,7.91881,..
"Government expenditure per student, primary (% of GDP per capita)",St. Kitts and Nevis,5.22032,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",St. Lucia,15.94346,16.48968,15.91189,14.70984,..
"Government expenditure per student, primary (% of GDP per capita)",St. Martin (French part),..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",St. Vincent and the Grenadines,16.7271,17.94852,17.84389,17.50517,..
"Government expenditure per student, primary (% of GDP per capita)",Sudan,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Suriname,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Sweden,21.33574,21.74093,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Switzerland,24.56797,24.78876,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Syrian Arab Republic,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Tajikistan,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Tanzania,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Thailand,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Timor-Leste,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Togo,16.09805,16.16121,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Tonga,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Trinidad and Tobago,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Tunisia,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Turkey,14.38743,12.99947,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Turkmenistan,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Turks and Caicos Islands,15.64521,..,..,5.7043,..
"Government expenditure per student, primary (% of GDP per capita)",Tuvalu,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Uganda,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Ukraine,..,26.25312,30.31566,..,..
"Government expenditure per student, primary (% of GDP per capita)",United Arab Emirates,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",United Kingdom,24.97949,24.17334,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",United States,19.76064,19.85908,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Uruguay,..,12.39083,12.64033,..,..
"Government expenditure per student, primary (% of GDP per capita)",Uzbekistan,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Vanuatu,13.5286,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)","Venezuela, RB",17.91013,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Vietnam,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Virgin Islands (U.S.),..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",West Bank and Gaza,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)","Yemen, Rep.",..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Zambia,14.32072,12.91385,12.88822,..,..
"Government expenditure per student, primary (% of GDP per capita)",Zimbabwe,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Arab World,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Caribbean small states,22.17824,21.77293,23.44592,21.68464,..
"Government expenditure per student, primary (% of GDP per capita)",Central Europe and the Baltics,19.99539,20.29085,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Early-demographic dividend,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",East Asia & Pacific,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",East Asia & Pacific (excluding high income),..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",East Asia & Pacific (IDA & IBRD countries),..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Euro area,21.6772,20.279965,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Europe & Central Asia,21.589135,20.553325,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Europe & Central Asia (excluding high income),..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Europe & Central Asia (IDA & IBRD countries),..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",European Union,20.768525,20.26908,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Fragile and conflict affected situations,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Heavily indebted poor countries (HIPC),..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",High income,19.878015,20.29085,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",IBRD only,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",IDA & IBRD total,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",IDA blend,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",IDA only,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",IDA total,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Late-demographic dividend,20.025175,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Latin America & Caribbean,15.18748,15.2222,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Latin America & Caribbean (excluding high income),15.283135,15.2222,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Latin America & the Caribbean (IDA & IBRD countries),15.18748,15.2222,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Least developed countries: UN classification,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Low & middle income,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Low income,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Lower middle income,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Middle East & North Africa,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Middle East & North Africa (excluding high income),..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Middle East & North Africa (IDA & IBRD countries),..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Middle income,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",North America,18.664005,19.85908,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Not classified,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",OECD members,19.878015,20.279965,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Other small states,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Pacific island small states,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Post-demographic dividend,19.76064,20.295035,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Pre-demographic dividend,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Small states,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",South Asia,9.17222,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",South Asia (IDA & IBRD),9.17222,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Sub-Saharan Africa,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Sub-Saharan Africa (excluding high income),..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Sub-Saharan Africa (IDA & IBRD countries),..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Upper middle income,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",World,..,..,..,..,..
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 12/16/2020,,,,,,
