Country Name,2015 Total Pop,2016 Total Pop,2017 Total Pop,2018 Total Pop,2019 Total Pop,2015 Adults (%),2016 Adults (%),2017 Adults (%),2018 Adults (%),2019 Adults (%),2015 Total Unemploment,2016 Total Unemploment,2017 Total Unemploment,2018 Total Unemploment,2019 Total Unemploment,2015 Female Unemploment,2016 Female Unemploment,2017 Female Unemploment,2018 Female Unemploment,2019 Female Unemploment,2015 Male Unemployment,2016 Male Unemployment,2017 Male Unemployment,2018 Male Unemployment,2019 Male Unemployment,2015 Total GDP,2016 Total GDP,2017 Total GDP,2018 Total GDP,2019 Total GDP,2015 Total Labor Force,2016 Total Labor Force,2017 Total Labor Force,2018 Total Labor Force,2019 Total Labor Force,2015 Happiness Score,2016 Happiness Score,2017 Happiness Score,2018 Happiness Score,2019 Happiness Score
Czech Republic,10546059.0,10566332.0,10594438.0,10629928.0,10669709.0,66.89083524,66.27224569,65.61791833,64.99251759,64.47630503,5.046000004,3.950999975,2.890000105,2.243000031,1.9329999690000002,6.073999882000001,4.670000076,3.5789999960000003,2.802999973,2.3840000630000002,4.2319998739999996,3.378000021,2.336999893,1.791000009,1.5670000309999998,188033000000.0,196272000000.0,218629000000.0,248909000000.0,250681000000.0,5337426.0,5388569.0,5419544.0,5453301.0,5445535.0,6.505,6.596,6.609000206,6.711,6.852
Denmark,5683483.0,5728010.0,5764980.0,5793636.0,5818553.0,64.10939592,63.98027856,63.84881462,63.7287848,63.63378215,6.168000221000001,6.181000233,5.743000031,4.974999905,4.913000107,6.443999767,6.638999939,5.93599987,5.149000168,5.193999767,5.922999859,5.7680001260000004,5.568999767,4.81799984,4.65899992,302673000000.0,313116000000.0,332121000000.0,356879000000.0,350104000000.0,2931334.0,3024663.0,2986512.0,3014756.0,3026441.0,7.527,7.526,7.521999836,7.555,7.6
Dominican Republic,10281680.0,10397743.0,10513131.0,10627165.0,10738958.0,64.66184515,64.77723382,64.86939538,64.94005302,64.99291644,7.605000018999999,7.282999992000001,5.831999778999999,5.738999843999999,5.84499979,10.90499973,10.73099995,8.121999741,8.074999809,8.279000282,5.480999947000001,5.026000023,4.320000172,4.1690001489999995,4.201000214,71164825258.0,75704720190.0,79997975623.0,85555378044.0,88941299734.0,4663162.0,4763649.0,4838602.0,4917459.0,4993453.0,4.885,5.155,5.230000018999999,5.3020000000000005,5.425
Ecuador,16212020.0,16491115.0,16785361.0,17084357.0,17373662.0,64.33873755,64.5292714,64.68725933,64.81411827,64.92083246,3.6159999369999998,4.597000122,3.835999966,3.529999971,3.967999935,4.524000168,5.848999977,4.928999901,4.400000095,4.958000183,3.023000002,3.726000071,3.0690000060000004,2.928999901,3.2829999919999997,99290381000.0,99937696000.0,104296000000.0,107562000000.0,107436000000.0,7645634.0,8042861.0,8305745.0,8365114.0,8545537.0,5.975,5.976,6.007999897,5.973,6.028
El Salvador,6325124.0,6356143.0,6388122.0,6420744.0,6453553.0,63.87187034,64.22193459,64.44966802,64.58082908,64.67197217,3.997999907,4.418000221000001,4.385000229,4.006000042,4.110000134,3.473999977,3.851999998,4.006000042,3.750999928,3.578000069,4.375999928,4.831999778999999,4.657999992,4.18900013,4.493999958,23438240000.0,24191440000.0,24979200000.0,26117400000.0,27022640000.0,2665700.0,2729547.0,2743560.0,2757089.0,2789514.0,6.13,6.068,6.002999783,6.167000000000001,6.252999999999999
Estonia,1315407.0,1315790.0,1317384.0,1321977.0,1326590.0,65.04749777,64.81120538,64.46494213,64.01656941,63.54492294,6.1869997979999996,6.762000083999999,5.760000229,5.366000175,5.114999771,6.133999825,6.065999985,5.298999786,5.31799984,4.96600008,6.236000061,7.414000034,6.190999985,5.409999847000001,5.254000187,23048864243.0,24259552889.0,26951648829.0,30631142227.0,31471100656.0,686173.0,695266.0,703684.0,705816.0,704366.0,5.428999999999999,5.517,5.611000061,5.739,5.893
Ethiopia,100835458.0,103603501.0,106400024.0,109224559.0,112078730.0,54.37154756,54.806239,55.26137124,55.7158851,56.14686837,2.194999933,2.167999983,2.119999886,2.075000048,2.08100009,2.901000023,2.8570001130000002,2.8110001089999996,2.746000051,2.7560000419999997,1.5900000330000001,1.574000001,1.5230000019999999,1.491999984,1.493999958,64589334979.0,74296618481.0,81770791971.0,84269348327.0,95912590628.0,46718750.0,48240655.0,49804178.0,51412462.0,53195214.0,4.512,4.508,4.460000038,4.35,4.2860000000000005
Finland,5479531.0,5495303.0,5508214.0,5515525.0,5520314.0,63.36096879,62.87518101,62.47008231,62.13402948,61.84301383,9.376000404,8.81799984,8.640000342999999,7.361000061,6.59499979,8.842000008,8.581999779,8.388999939,7.297999859,6.296000004,9.875,9.036999702000001,8.871999741,7.4190001489999995,6.872000217,234440000000.0,240608000000.0,255232000000.0,275947000000.0,269296000000.0,2695658.0,2688556.0,2709345.0,2742737.0,2739091.0,7.406000000000001,7.412999999999999,7.468999863,7.632000000000001,7.769
France,66548272.0,66724104.0,66864379.0,66965912.0,67059887.0,62.76647242,62.470344499999996,62.22117654,62.00891081,61.80647185,10.35900021,10.05700016,9.397000313,9.059000015,8.427000046,9.880999565,9.852000237,9.336000443,9.097000122,8.36400032,10.79599953,10.24400043,9.454000472999999,9.022999763,8.484999657000001,2438210000000.0,2471290000000.0,2595150000000.0,2787860000000.0,2715520000000.0,30138027.0,30197208.0,30236456.0,30391825.0,30386432.0,6.575,6.478,6.441999912000001,6.489,6.5920000000000005
Gabon,1947686.0,2007873.0,2064823.0,2119275.0,2172579.0,60.04053015,59.80552555,59.59324359,59.41022284,59.27572714,20.26000023,20.1590004,19.98200035,19.80699921,20.00399971,28.71800041,28.55500031,28.26600075,28.10099983,28.50699997,14.52099991,14.501000400000002,14.43299961,14.27700043,14.29300022,14383107714.0,14023890620.0,14929488771.0,16862282414.0,16874450215.0,636572.0,659706.0,681829.0,702504.0,721924.0,3.8960000000000004,4.121,4.465000153,4.758,4.7989999999999995
Georgia,3725276.0,3727505.0,3728004.0,3726549.0,3720382.0,66.68471588,66.25135414,65.79735257,65.33926797,64.90751896,16.50600052,16.60400009,13.93900013,13.78499985,14.39799976,13.90100002,12.53100014,12.69099998,12.54699993,12.88000011,18.68000031,19.91300011,14.95400047,14.79399967,15.63500023,14953950557.0,15141758567.0,16242916916.0,17599700091.0,17477255546.0,2090740.0,2059913.0,2051071.0,2040890.0,2032911.0,4.297,4.252,4.285999775,4.34,4.519
Germany,81686611.0,82348669.0,82657002.0,82905782.0,83132799.0,65.56447055,65.39599085,65.17782359,64.9170079,64.6375192,4.624000072,4.122000217,3.746000051,3.3840000630000002,3.042999983,4.21999979,3.7409999369999998,3.3150000569999998,2.910000086,2.6940000060000004,4.97300005,4.451000214,4.118000031,3.792000055,3.342999935,3356240000000.0,3467500000000.0,3682600000000.0,3963770000000.0,3861120000000.0,42592924.0,43055076.0,43289005.0,43560137.0,43577709.0,6.75,6.994,6.951000214,6.965,6.985
Ghana,27849205.0,28481946.0,29121471.0,29767108.0,30417856.0,58.80449011,58.94660284,59.13016395,59.33504041,59.53780569,6.806000233,5.4499998089999995,4.22300005,4.157000065,4.3309998510000005,6.565999985,5.433000087999999,4.385000229,4.251999855,4.464000225,7.013000011,5.464000225,4.081999778999999,4.073999882,4.21600008,48564863888.0,55009730600.0,58998132330.0,65556464048.0,66983634224.0,11708016.0,12006769.0,12304378.0,12611514.0,12917053.0,4.633,4.276,4.1199998860000004,4.657,4.996
Greece,10820883.0,10775971.0,10754679.0,10732882.0,10716322.0,64.61915148,64.51476823,64.39583895,64.27348306,64.16193128,24.89699936,23.53899956,21.48800087,19.29199982,17.23800087,28.89299965,28.14299965,26.11499977,24.29000092,22.01600075,21.74699974,19.88899994,17.84900093,15.40699959,13.51599979,196591000000.0,195222000000.0,203588000000.0,218138000000.0,209853000000.0,4825534.0,4821995.0,4812433.0,4804346.0,4776602.0,4.857,5.033,5.2270002369999995,5.358,5.287000000000001
Guatemala,15567419.0,15827690.0,16087418.0,16346950.0,16604026.0,59.26100031,59.74785981,60.25278792,60.752532099999996,61.21168353,2.5060000419999997,2.582999945,2.461999893,2.40199995,2.459000111,3.5409998889999996,3.4719998839999997,3.5220000739999997,3.467999935,3.4119999410000004,1.996000051,2.125999928,1.93900001,1.8739999530000002,1.988000035,62186186576.0,66053725049.0,71612352645.0,73118147941.0,76710355347.0,6097908.0,6307795.0,6498737.0,6680520.0,6847286.0,6.122999999999999,6.324,6.453999996,6.382000000000001,6.436
