"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Congo, Dem. Rep.","COD","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.9232406616211","","","","","","76.9156875610352","","","","","87.9083862304688","","","","88.5246887207031","","","","",
"Congo, Rep.","COG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","71.3291168212891","","","","","","","","","","","","","","","","","","","","","86.0498275756836","","","","","","86.4343109130859","","","","","","","86.0765075683594","","",
"Colombia","COL","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.97265625","","","91.0891036987305","","","","","","","","92.9041213989258","92.777946472168","92.3927993774414","92.4297027587891","93.3168792724609","93.0625381469727","93.2501907348633","93.4882583618164","","","93.8674011230469","94.0631713867188","94.4022827148438","","94.8518295288086","","",
"Comoros","COM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","55.9770393371582","","","","","","","","","","","","","","","","","","","","74.5140380859375","","","","","","","","","","","","56.4798011779785","","","","","","64.6442031860352","","",
"Cabo Verde","CPV","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.7592697143555","","","","","","","","","","83.8376083374023","","","","","","","","","","","","90.4745025634766","","","91.6914367675781","","","","","",
"Costa Rica","CRI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","92.6821365356445","","","","","","","","","","","","","","","","94.6501770019531","","","","","","","","","","","97.3063278198242","","","","","","","97.8023529052734","","",
"Caribbean small states","CSS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.9480209350586","83.9833374023438","84.2480392456055","84.5002593994141","84.7536087036133","85.1337509155273","84.8237533569336","85.6426773071289","85.9656295776367","86.2677230834961","86.5573425292969","86.8491134643555","87.1952590942383","87.4106826782227","87.9313430786133","88.2111587524414","88.426513671875","88.7221603393555","88.970947265625","89.1393966674805","89.5094909667969","89.7338485717773","89.8106307983398","","","","","",
"Cuba","CUB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8073120117188","","","","","","","","","","99.7060623168945","","","","","","","","",
"Curacao","CUW","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7223892211914","","","","","","","","","","","","","",
"Cyprus","CYP","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.8305892944336","","","","","","","","","98.6310424804688","","","","","","","","","","99.2861480712891","","","","","","","","","",
"Czech Republic","CZE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7958374023438","","","","",
"Germany","DEU","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","73.5902481079102","","","","","","","","","","","","","","","","","","","","","86.8110198974609","","","","","88.2101516723633","","","89.3770370483398","89.9850082397461","90.0848236083984","90.4581298828125","91.3715972900391","91.6507110595703","93.7936019897461","","","","",
"Algeria","DZA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.3774299621582","","","","","","","","","","","","","","","79.1866912841797","","","","81.2840423583984","","82.615837097168","","","","","","","","","","87.4229583740234","","",
"East Asia & Pacific (excluding high income)","EAP","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","77.0743179321289","77.1875534057617","78.0003967285156","78.79296875","79.1431503295898","80.3647079467773","80.9770736694336","81.8532562255859","82.5735397338867","83.255256652832","83.9054107666016","84.8918380737305","87.7874221801758","88.2110137939453","87.8580780029297","88.9709701538086","89.3197937011719","89.6052169799805","89.9902114868164","90.3687896728516","90.7016525268555","93.9387588500977","94.1505508422852","94.3419494628906","94.5671615600586","94.8128128051758","95.029670715332","95.2147827148438","95.4345474243164","95.6689834594727","95.9279098510742","96.5407791137695","96.6733016967773","96.8263473510742","96.8448791503906","96.6495819091797","96.789436340332","96.8559875488281","97.0904998779297","97.2763137817383","97.3419418334961","97.4507904052734","97.5178604125977","97.6021270751953","",
